,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
12,왓어왓,2023-07-19,영업,제주특별자치도 제주시 구좌읍 종달리 1098,"제주특별자치도 제주시 구좌읍 종달논길 16, 1층","왓어왓 제주특별자치도 제주시 구좌읍 종달논길 16, 1층",종달리 1098,"종달논길 16,",126.902759210,33.494450396
13,달보름,2023-08-23,영업,제주특별자치도 제주시 구좌읍 평대리 2030-2,"제주특별자치도 제주시 구좌읍 대수길 24, 1층","달보름 제주특별자치도 제주시 구좌읍 대수길 24, 1층",평대리 2030-2,"대수길 24,",126.838101292,33.536620775
14,비에이치씨제주세화점,2023-07-21,영업,제주특별자치도 제주시 구좌읍 평대리 151-5,"제주특별자치도 제주시 구좌읍 구좌로 8, 1층","비에이치씨제주세화점 제주특별자치도 제주시 구좌읍 구좌로 8, 1층",평대리 151-5,"구좌로 8,",126.852136765,33.523382714
15,알이즈웰,2023-06-16,영업,제주특별자치도 제주시 구좌읍 세화리 815,"제주특별자치도 제주시 구좌읍 세송로 43, 1층","알이즈웰 제주특별자치도 제주시 구좌읍 세송로 43, 1층",세화리 815,"세송로 43,",126.858740130,33.514678466
16,월정달빛,2023-06-29,영업,제주특별자치도 제주시 구좌읍 월정리 546,"제주특별자치도 제주시 구좌읍 월정3길 58, 2층","월정달빛 제주특별자치도 제주시 구좌읍 월정3길 58, 2층",월정리 546,"월정3길 58,",126.795335736,33.555700840
17,구좌제당소,2023-06-28,영업,제주특별자치도 제주시 구좌읍 평대리 2031-2,"제주특별자치도 제주시 구좌읍 해맞이해안로 1108, 1동 1층","구좌제당소 제주특별자치도 제주시 구좌읍 해맞이해안로 1108, 1동 1층",평대리 2031-2,"해맞이해안로 1108,",126.837174447,33.537736601
18,세화피크닉,2023-06-23,영업,제주특별자치도 제주시 구좌읍 세화리 1477-15 세화팬션 숨비,"제주특별자치도 제주시 구좌읍 해맞이해안로 1460, 세화팬션 숨비 별관 1층","세화피크닉 제주특별자치도 제주시 구좌읍 해맞이해안로 1460, 세화팬션 숨비 별관 1층",세화리 1477-15,"해맞이해안로 1460,",126.861285142,33.524290706
19,비수기애호가,2022-04-11,영업,제주특별자치도 제주시 구좌읍 한동리 1368-5,"제주특별자치도 제주시 구좌읍 해맞이해안로 997, 2층","비수기애호가 제주특별자치도 제주시 구좌읍 해맞이해안로 997, 2층",한동리 1368-5,"해맞이해안로 997,",126.830781217,33.543163276
20,고기굽는해녀,2022-04-11,영업,제주특별자치도 제주시 구좌읍 한동리 1007-2,"제주특별자치도 제주시 구좌읍 한동로1길 25, 지1층","고기굽는해녀 제주특별자치도 제주시 구좌읍 한동로1길 25, 지1층",한동리 1007-2,"한동로1길 25,",126.826851944,33.536028239
21,후룩,2022-04-08,영업,제주특별자치도 제주시 구좌읍 행원리 1482,"제주특별자치도 제주시 구좌읍 해맞이해안로 584-2, 2층","후룩 제주특별자치도 제주시 구좌읍 해맞이해안로 584-2, 2층",행원리 1482,"해맞이해안로 584-2,",126.806841938,33.556278685
22,세화다퍼주는횟집,2022-02-17,영업,제주특별자치도 제주시 구좌읍 평대리 3350-12,"제주특별자치도 제주시 구좌읍 세평항로 19, 1층","세화다퍼주는횟집 제주특별자치도 제주시 구좌읍 세평항로 19, 1층",평대리 3350-12,"세평항로 19,",126.853699492,33.525368846
23,여가루,2022-04-04,영업,제주특별자치도 제주시 구좌읍 행원리 576-3,"제주특별자치도 제주시 구좌읍 해맞이해안로 622, 1층","여가루 제주특별자치도 제주시 구좌읍 해맞이해안로 622, 1층",행원리 576-3,"해맞이해안로 622,",126.811060075,33.556564422
24,신떡순떡볶이,2022-04-07,영업,제주특별자치도 제주시 구좌읍 평대리 2031-36,"제주특별자치도 제주시 구좌읍 해맞이해안로 1138, 지1층","신떡순떡볶이 제주특별자치도 제주시 구좌읍 해맞이해안로 1138, 지1층",평대리 2031-36,"해맞이해안로 1138,",126.840098160,33.536777219
25,꼭지,2022-01-28,영업,제주특별자치도 제주시 구좌읍 세화리 1448-1,"제주특별자치도 제주시 구좌읍 세화4길 10, 2층","꼭지 제주특별자치도 제주시 구좌읍 세화4길 10, 2층",세화리 1448-1,"세화4길 10,",126.855653493,33.522539581
26,조간대,2022-01-27,영업,제주특별자치도 제주시 구좌읍 김녕리 1274,"제주특별자치도 제주시 구좌읍 김녕로1길 89-8, 1층","조간대 제주특별자치도 제주시 구좌읍 김녕로1길 89-8, 1층",김녕리 1274,"김녕로1길 89-8,",126.753118294,33.557591016
27,달피,2022-01-27,영업,제주특별자치도 제주시 구좌읍 행원리 1537-19,"제주특별자치도 제주시 구좌읍 행원로1길 32-1, 1층","달피 제주특별자치도 제주시 구좌읍 행원로1길 32-1, 1층",행원리 1537-19,"행원로1길 32-1,",126.800101783,33.554975297
28,헤븐,2022-03-08,영업,제주특별자치도 제주시 구좌읍 동복리 1625,제주특별자치도 제주시 구좌읍 동복로1길 11-10,헤븐 제주특별자치도 제주시 구좌읍 동복로1길 11-10,동복리 1625,동복로1길 11-10,126.711102213,33.554255207
29,세화요정,2022-02-24,영업,제주특별자치도 제주시 구좌읍 세화리 1477-17,"제주특별자치도 제주시 구좌읍 세화7길 23-5, 1층","세화요정 제주특별자치도 제주시 구좌읍 세화7길 23-5, 1층",세화리 1477-17,"세화7길 23-5,",126.860009717,33.524145712
