store_name,date,visits
판포리135,2021-07-24,1
판포리135,2021-08-28,1
판포리135,2021-09-04,1
판포리135,2021-10-16,1
판포리135,2021-10-23,1
판포리135,2021-11-13,2
고추냉이식당,2020-10-31,1
서진향해장국,2020-10-31,1
피자베이제주점,2020-08-01,1
녹색식당원동점,2020-05-02,1
붐붐,2020-05-02,4
붐붐,2020-05-16,1
붐붐,2020-08-08,1
붐붐,2020-09-12,1
붐붐,2020-10-17,1
붐붐,2020-11-07,2
붐붐,2020-11-14,2
붐붐,2020-12-12,1
붐붐,2021-02-06,4
붐붐,2021-03-13,2
붐붐,2021-03-20,1
붐붐,2021-03-27,1
붐붐,2021-05-08,1
붐붐,2021-05-15,1
붐붐,2021-05-22,1
붐붐,2021-06-05,1
붐붐,2021-08-14,1
붐붐,2021-08-28,1
붐붐,2021-09-11,1
붐붐,2021-09-18,1
붐붐,2021-10-02,1
붐붐,2021-10-16,2
붐붐,2021-11-13,1
붐붐,2021-11-20,1
붐붐,2021-12-25,1
카페알로티,2020-10-10,1
카페알로티,2021-07-24,1
조천234,2021-04-24,1
한림돼지국밥,2020-05-02,1
오가네전복설렁탕함덕,2020-05-16,1
오가네전복설렁탕함덕,2020-05-30,1
오가네전복설렁탕함덕,2020-07-04,1
오가네전복설렁탕함덕,2020-07-18,2
오가네전복설렁탕함덕,2020-08-01,1
오가네전복설렁탕함덕,2020-08-08,1
오가네전복설렁탕함덕,2020-08-29,1
오가네전복설렁탕함덕,2020-09-05,2
오가네전복설렁탕함덕,2020-09-12,1
오가네전복설렁탕함덕,2020-09-13,1
오가네전복설렁탕함덕,2020-09-19,1
오가네전복설렁탕함덕,2020-10-03,1
오가네전복설렁탕함덕,2020-10-10,1
오가네전복설렁탕함덕,2020-10-24,1
오가네전복설렁탕함덕,2020-10-31,3
오가네전복설렁탕함덕,2020-11-07,1
오가네전복설렁탕함덕,2020-11-14,1
오가네전복설렁탕함덕,2020-11-28,1
오가네전복설렁탕함덕,2020-12-19,1
오가네전복설렁탕함덕,2021-02-20,2
오가네전복설렁탕함덕,2021-03-13,1
오가네전복설렁탕함덕,2021-04-03,1
오가네전복설렁탕함덕,2021-04-10,1
오가네전복설렁탕함덕,2021-04-17,1
오가네전복설렁탕함덕,2021-05-01,1
오가네전복설렁탕함덕,2021-05-08,1
오가네전복설렁탕함덕,2021-05-15,1
오가네전복설렁탕함덕,2021-07-24,1
오가네전복설렁탕함덕,2021-08-07,1
오가네전복설렁탕함덕,2021-08-21,1
오가네전복설렁탕함덕,2021-08-28,1
오가네전복설렁탕함덕,2021-09-11,2
오가네전복설렁탕함덕,2021-09-18,2
오가네전복설렁탕함덕,2021-10-02,1
오가네전복설렁탕함덕,2021-10-09,2
오가네전복설렁탕함덕,2021-10-16,1
오가네전복설렁탕함덕,2021-10-23,1
오가네전복설렁탕함덕,2021-11-20,1
오가네전복설렁탕함덕,2021-12-04,1
오하요딩동댕,2021-02-20,1
오하요딩동댕,2021-05-22,1
오하요딩동댕,2021-09-18,1
오하요딩동댕,2021-10-02,1
야야,2020-08-22,2
야야,2020-09-26,1
야야,2020-10-03,1
야야,2020-10-31,2
야야,2020-11-07,2
야야,2020-11-21,1
집밥뚝딱삼화점,2020-04-18,1
스톤아일랜드탭하우스텐저린맨션점,2020-01-25,1
스톤아일랜드탭하우스텐저린맨션점,2020-11-21,1
스톤아일랜드탭하우스텐저린맨션점,2020-12-12,1
스톤아일랜드탭하우스텐저린맨션점,2021-04-03,1
스톤아일랜드탭하우스텐저린맨션점,2021-04-17,1
스톤아일랜드탭하우스텐저린맨션점,2021-10-02,2
스톤아일랜드탭하우스텐저린맨션점,2021-11-06,1
문화카페시공,2021-12-25,1
케이에프씨제주시청점,2021-02-27,1
영락마을회관식당,2020-03-14,1
영락마을회관식당,2020-07-11,1
영락마을회관식당,2020-08-08,1
영락마을회관식당,2020-10-24,1
영락마을회관식당,2020-11-21,1
바른물,2020-04-18,1
콜린제주,2020-03-21,1
콜린제주,2020-04-25,1
콜린제주,2020-05-09,1
콜린제주,2020-05-23,2
콜린제주,2020-08-22,1
콜린제주,2020-09-26,1
콜린제주,2020-10-03,1
콜린제주,2020-10-17,4
콜린제주,2020-10-24,1
콜린제주,2020-11-07,1
콜린제주,2020-11-14,1
콜린제주,2020-11-21,1
콜린제주,2020-12-12,2
콜린제주,2021-02-20,1
콜린제주,2021-03-06,1
콜린제주,2021-06-19,1
콜린제주,2021-07-10,1
콜린제주,2021-08-07,1
콜린제주,2021-08-21,1
콜린제주,2021-09-11,1
콜린제주,2021-10-02,2
콜린제주,2021-10-09,1
콜린제주,2021-10-16,1
콜린제주,2021-11-13,2
콜린제주,2021-11-20,2
콜린제주,2021-12-25,1
