,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
3214,크라우드피씨방제주삼무점,2020-12-08,영업,제주특별자치도 제주시 연동 260-15,"제주특별자치도 제주시 신광로 16, 1층 101호 (연동)",크라우드피씨방제주삼무점  제주시 신광로 16, 제주시 연동 260-15, 제주시 신광로 16,126.489906340,33.490690066
3215,주스바,2020-12-08,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 6층 (노형동)",주스바  제주시 노연로 12, 제주시 노형동 925 제주 드림타워 복합리조트, 제주시 노연로 12,126.481428318,33.485288391
3216,드림카페,2020-12-08,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 3층 (노형동)",드림카페  제주시 노연로 12, 제주시 노형동 925 제주 드림타워 복합리조트, 제주시 노연로 12,126.481428318,33.485288391
3217,드림와플,2020-12-08,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 3층 (노형동)",드림와플  제주시 노연로 12, 제주시 노형동 925 제주 드림타워 복합리조트, 제주시 노연로 12,126.481428318,33.485288391
3218,드림초콜릿,2020-12-08,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 3층 (노형동)",드림초콜릿  제주시 노연로 12, 제주시 노형동 925 제주 드림타워 복합리조트, 제주시 노연로 12,126.481428318,33.485288391
3219,드림주스,2020-12-08,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 3층 (노형동)",드림주스  제주시 노연로 12, 제주시 노형동 925 제주 드림타워 복합리조트, 제주시 노연로 12,126.481428318,33.485288391
3220,시시소소,2020-12-09,영업,제주특별자치도 제주시 구좌읍 송당리 1352-2,"제주특별자치도 제주시 구좌읍 중산간동로 2247, 1층",시시소소  제주시 구좌읍 중산간동로 2247, 제주시 구좌읍 송당리 1352-2, 제주시 구좌읍 중산간동로 2247,126.782808872,33.472109696
3221,옛날찻집,2021-01-26,영업,제주특별자치도 제주시 조천읍 함덕리 1002-100,"제주특별자치도 제주시 조천읍 함덕16길 6-6, 1층",옛날찻집  제주시 조천읍 함덕16길 6-6, 제주시 조천읍 함덕리 1002-100, 제주시 조천읍 함덕16길 6-6,126.667767393,33.540947894
3222,분식왕,2021-01-26,영업,제주특별자치도 제주시 애월읍 하귀2리 1386-2,"제주특별자치도 제주시 애월읍 하귀로 64-1, 1층",분식왕  제주시 애월읍 하귀로 64-1, 제주시 애월읍 하귀2리 1386-2, 제주시 애월읍 하귀로 64-1,126.404231651,33.480878691
3223,컴포즈커피제주이도점,2021-02-01,영업,제주특별자치도 제주시 이도이동 2008-4,"제주특별자치도 제주시 구남동6길 6, 1층 (이도이동)",컴포즈커피제주이도점  제주시 구남동6길 6, 제주시 이도이동 2008-4, 제주시 구남동6길 6,126.538336741,33.488720657
3224,테라피쉬,2021-02-01,영업,제주특별자치도 제주시 아라이동 34-9,"제주특별자치도 제주시 능선길 220, 1층 (아라이동)",테라피쉬  제주시 능선길 220, 제주시 아라이동 34-9, 제주시 능선길 220,126.562253372,33.460964551
3225,에이바우트커피에코그린빌15차점,2021-02-01,영업,제주특별자치도 제주시 이도이동 68-15,"제주특별자치도 제주시 연북로 704, 지하1층,지상1층 (이도이동)",에이바우트커피에코그린빌15차점  제주시 연북로 704, 제주시 이도이동 68-15, 제주시 연북로 704,126.551485047,33.494426433
3226,에이치앤케이푸드,2021-02-01,영업,제주특별자치도 제주시 연동 2303-8,"제주특별자치도 제주시 도령북길 1, 1층 (연동)",에이치앤케이푸드  제주시 도령북길 1, 제주시 연동 2303-8, 제주시 도령북길 1,126.484848553,33.493238477
3227,씨유서귀포월드컵점,2020-01-07,영업,제주특별자치도 서귀포시 서귀동 417-2 CU,"제주특별자치도 서귀포시 명동로 19-1, CU 1층 (서귀동)",씨유서귀포월드컵점  서귀포시 명동로 19-1, 서귀포시 서귀동 417-2 CU, 서귀포시 명동로 19-1,126.564070325,33.247485565
3228,씨유제주남원의귀점,2020-01-03,영업,제주특별자치도 서귀포시 남원읍 의귀리 794번지,"제주특별자치도 서귀포시 남원읍 한신로 247-3, 1층",씨유제주남원의귀점  서귀포시 남원읍 한신로 247-3, 서귀포시 남원읍 의귀리 794번지, 서귀포시 남원읍 한신로 247-3,126.716710877,33.311807949
3229,만땅PC카페,2020-01-03,영업,제주특별자치도 서귀포시 동홍동 413-5,"제주특별자치도 서귀포시 동홍남로 46, 2층 (동홍동)",만땅PC카페  서귀포시 동홍남로 46, 서귀포시 동홍동 413-5, 서귀포시 동홍남로 46,126.573197363,33.256757956
3230,율커피,2020-01-21,영업,제주특별자치도 서귀포시 남원읍 남원리 2364-1번지 1층,"제주특별자치도 서귀포시 남원읍 태위로 507, 1층",율커피  서귀포시 남원읍 태위로 507, 서귀포시 남원읍 남원리 2364-1번지 1층, 서귀포시 남원읍 태위로 507,126.701362740,33.275287753
3231,하이한담서귀포점,2020-02-19,영업,제주특별자치도 서귀포시 토평동 1220-2 1층,"제주특별자치도 서귀포시 토평로50번길 45, 1층 (토평동)",하이한담서귀포점  서귀포시 토평로50번길 45, 서귀포시 토평동 1220-2 1층, 서귀포시 토평로50번길 45,126.590389375,33.266283086
3232,가배미,2020-02-07,영업,제주특별자치도 서귀포시 동홍동 942-4번지 1층,"제주특별자치도 서귀포시 동홍로 298, 1층 (동홍동)",가배미  서귀포시 동홍로 298, 서귀포시 동홍동 942-4번지 1층, 서귀포시 동홍로 298,126.567913607,33.274215872
3233,세븐카페,2020-02-18,영업,제주특별자치도 서귀포시 대정읍 상모리 133-8번지 2층,"제주특별자치도 서귀포시 대정읍 형제해안로 322-1, 2층",세븐카페  서귀포시 대정읍 형제해안로 322-1, 서귀포시 대정읍 상모리 133-8번지 2층, 서귀포시 대정읍 형제해안로 322-1,126.289623736,33.206813392
3234,지에스25서귀홍중점,2020-01-09,영업,제주특별자치도 서귀포시 서홍동 348-12번지,"제주특별자치도 서귀포시 홍중로 57, 1층 (서홍동)",지에스25서귀홍중점  서귀포시 홍중로 57, 서귀포시 서홍동 348-12번지, 서귀포시 홍중로 57,126.556621237,33.257682509
3235,더캠프PC서귀포본점,2020-03-24,영업,제주특별자치도 서귀포시 법환동 746-3번지 3층 301~3호,"제주특별자치도 서귀포시 김정문화로41번길 5-2, 3층 301~304호 (법환동)",더캠프PC서귀포본점  서귀포시 김정문화로41번길 5-2, 서귀포시 법환동 746-3번지 3층 301~3호, 서귀포시 김정문화로41번길 5-2,126.508858733,33.252109045
3236,카페달곰,2020-03-24,영업,제주특별자치도 서귀포시 서귀동 370-10 1층,"제주특별자치도 서귀포시 이중섭로 4, 1층 (서귀동)",카페달곰  서귀포시 이중섭로 4, 서귀포시 서귀동 370-10 1층, 서귀포시 이중섭로 4,126.564030551,33.247698349
3237,지에스중문마을점,2020-02-26,영업,제주특별자치도 서귀포시 중문동 2011-19번지 1층,"제주특별자치도 서귀포시 천제연로207번길 18, 1층 (중문동)",지에스중문마을점  서귀포시 천제연로207번길 18, 서귀포시 중문동 2011-19번지 1층, 서귀포시 천제연로207번길 18,126.427097606,33.253204618
3238,카리스커피숍,2020-02-21,영업,제주특별자치도 서귀포시 서호동 1615-10번지 203호,"제주특별자치도 서귀포시 서호남로 65, 마이스이노원전시장 2층 203호 (서호동)",카리스커피숍  서귀포시 서호남로 65, 서귀포시 서호동 1615-10번지 203호, 서귀포시 서호남로 65,126.519548804,33.250412932
3239,카페오션브릭,2020-02-21,영업,제주특별자치도 서귀포시 안덕면 화순리 2021-1번지,제주특별자치도 서귀포시 안덕면 산방로 75-5,카페오션브릭  서귀포시 안덕면 산방로 75-5, 서귀포시 안덕면 화순리 2021-1번지, 서귀포시 안덕면 산방로 75-5,0,0
3240,한다,2020-03-12,영업,제주특별자치도 서귀포시 서홍동 397-80 102호,"제주특별자치도 서귀포시 중앙로 113, 1층 102호 (서홍동)",한다  서귀포시 중앙로 113, 서귀포시 서홍동 397-80 102호, 서귀포시 중앙로 113,126.560488314,33.254801337
3241,에그드랍서귀포중앙점,2020-03-16,영업,제주특별자치도 서귀포시 서귀동 288-7번지 CU,제주특별자치도 서귀포시 중앙로 72 (서귀동),에그드랍서귀포중앙점  서귀포시 중앙로 72 (서귀동), 서귀포시 서귀동 288-7번지 CU, 서귀포시 중앙로 72 (서귀동),126.561482217,33.251073045
3242,수커피(SooCoffee),2020-01-14,영업,제주특별자치도 서귀포시 남원읍 남원리 94-5번지,"제주특별자치도 서귀포시 남원읍 남원회관로 70, 1층",수커피(SooCoffee)  서귀포시 남원읍 남원회관로 70, 서귀포시 남원읍 남원리 94-5번지, 서귀포시 남원읍 남원회관로 70,126.720373613,33.278588665
3243,랜딩커피,2020-01-17,영업,"제주특별자치도 서귀포시 성산읍 고성리 559-16번지 1,2층","제주특별자치도 서귀포시 성산읍 신양로122번길 45-1, 1,2층",랜딩커피  서귀포시 성산읍 신양로122번길 45-1, 서귀포시 성산읍 고성리 559-16번지 1, 서귀포시 성산읍 신양로122번길 45-1,126.918902451,33.435507186
3244,카페더라이트,2020-03-13,영업,제주특별자치도 서귀포시 성산읍 성산리 298-22번지,"제주특별자치도 서귀포시 성산읍 한도로 269, 1,2층",카페더라이트  서귀포시 성산읍 한도로 269, 서귀포시 성산읍 성산리 298-22번지, 서귀포시 성산읍 한도로 269,126.935997856,33.465671458
3245,지에스25서귀오거리점,2020-03-17,영업,제주특별자치도 서귀포시 서귀동 286-18번지 GS25,"제주특별자치도 서귀포시 중정로91번길 46, GS25 (서귀동)",지에스25서귀오거리점  서귀포시 중정로91번길 46, 서귀포시 서귀동 286-18번지 GS25, 서귀포시 중정로91번길 46,126.562454439,33.251332724
