Unnamed: 0,store_name,business_category,permission_date,situation,address,address_road,trans_ad,trans_ad_road,x,y,new_store_name
14714,스테이지에이치(h),한식,2021-08-24,영업,제주특별자치도 서귀포시 서호동 514,"제주특별자치도 서귀포시 고근산로202번길 94, 8동 (서호동)", 서귀포시 서호동 514, 서귀포시 고근산로202번길 94,126.51846505,33.268763067,스테이지에이치(h)  서귀포시 고근산로202번길 94
14715,무로이로비,패밀리레스트랑,2021-08-24,영업,제주특별자치도 서귀포시 안덕면 동광리 962,제주특별자치도 서귀포시 안덕면 동광본동로 21, 서귀포시 안덕면 동광리 962, 서귀포시 안덕면 동광본동로 21,126.336491199,33.307161257,무로이로비  서귀포시 안덕면 동광본동로 21
14716,애월연어영어교육도시점,일식,2021-08-24,영업,제주특별자치도 서귀포시 대정읍 보성리 2476-10,"제주특별자치도 서귀포시 대정읍 글로벌에듀로 390, A동 107호", 서귀포시 대정읍 보성리 2476-10, 서귀포시 대정읍 글로벌에듀로 390,126.276472094,33.28010385,애월연어영어교육도시점  서귀포시 대정읍 글로벌에듀로 390
14717,면관하이재,한식,2021-08-24,영업,제주특별자치도 서귀포시 성산읍 신풍리 816-7,"제주특별자치도 서귀포시 성산읍 신풍하동로 15, 1층", 서귀포시 성산읍 신풍리 816-7, 서귀포시 성산읍 신풍하동로 15,126.838113234,33.361843963,면관하이재  서귀포시 성산읍 신풍하동로 15
14718,스테이크존제주점,한식,2021-09-15,영업,제주특별자치도 서귀포시 중문동 2059-7 중문 스마트빌,"제주특별자치도 서귀포시 중문상로 41-3, 본동 2층 제근생5호 (중문동, 중문 스마트빌)", 서귀포시 중문동 2059-7 중문 스마트빌, 서귀포시 중문상로 41-3,126.425232045,33.252035043,스테이크존제주점  서귀포시 중문상로 41-3
14719,도미노피자제주서귀포점,경양식,2021-07-16,영업,제주특별자치도 서귀포시 서호동 1230-1,제주특별자치도 서귀포시 신서귀로 118 (서호동), 서귀포시 서호동 1230-1, 서귀포시 신서귀로 118 (서호동),126.510586274,33.258931012,도미노피자제주서귀포점  서귀포시 신서귀로 118 (서호동)
14720,로즈가든,한식,2021-08-30,영업,제주특별자치도 서귀포시 서호동 274-3,제주특별자치도 서귀포시 서호호근로 55 (서호동), 서귀포시 서호동 274-3, 서귀포시 서호호근로 55 (서호동),126.524027315,33.251883014,로즈가든  서귀포시 서호호근로 55 (서호동)
14721,한잔하고가시닭,호프/통닭,2021-08-30,영업,제주특별자치도 서귀포시 표선면 가시리 2521-5,제주특별자치도 서귀포시 표선면 중산간동로 5124, 서귀포시 표선면 가시리 2521-5, 서귀포시 표선면 중산간동로 5124,126.766808937,33.360322718,한잔하고가시닭  서귀포시 표선면 중산간동로 5124
14722,예술창고내맘,패밀리레스트랑,2021-08-30,영업,제주특별자치도 서귀포시 표선면 세화리 1940,"제주특별자치도 서귀포시 표선면 세성로333번길 26-2, 1-2층", 서귀포시 표선면 세화리 1940, 서귀포시 표선면 세성로333번길 26-2,126.794072939,33.331257345,예술창고내맘  서귀포시 표선면 세성로333번길 26-2
14723,러디스,호프/통닭,2021-08-19,영업,제주특별자치도 서귀포시 강정동 708,"제주특별자치도 서귀포시 월드컵로 202, 1,2층 (강정동)", 서귀포시 강정동 708, 서귀포시 월드컵로 202,126.505628745,33.231766527,러디스  서귀포시 월드컵로 202
14724,순이식당,정종/대포집/소주방,2021-08-19,영업,제주특별자치도 서귀포시 대정읍 하모리 962-2,"제주특별자치도 서귀포시 대정읍 하모중앙로 62-2, 2층", 서귀포시 대정읍 하모리 962-2, 서귀포시 대정읍 하모중앙로 62-2,126.251971977,33.2226855,순이식당  서귀포시 대정읍 하모중앙로 62-2
14725,BHC제주화순점,호프/통닭,2021-08-19,영업,제주특별자치도 서귀포시 안덕면 화순리 353-8,"제주특별자치도 서귀포시 안덕면 화순임중로 20, 1층", 서귀포시 안덕면 화순리 353-8, 서귀포시 안덕면 화순임중로 20,126.336521416,33.24439916,BHC제주화순점  서귀포시 안덕면 화순임중로 20
14726,꾸브라꼬숯불두마리치킨(대정서광점),호프/통닭,2021-08-11,영업,제주특별자치도 서귀포시 안덕면 서광리 1818-4,"제주특별자치도 서귀포시 안덕면 서광사수동로20번길 27, 1층", 서귀포시 안덕면 서광리 1818-4, 서귀포시 안덕면 서광사수동로20번길 27,126.303516687,33.28639912,꾸브라꼬숯불두마리치킨(대정서광점)  서귀포시 안덕면 서광사수동로20번길 27
14727,미소식탁,일식,2021-09-06,영업,제주특별자치도 서귀포시 서홍동 282-2,"제주특별자치도 서귀포시 중앙로207번길 15, 1층 (서홍동)", 서귀포시 서홍동 282-2, 서귀포시 중앙로207번길 15,126.557189779,33.262899365,미소식탁  서귀포시 중앙로207번길 15
14728,에이치푸드(H-FOOD)서귀포점,한식,2021-09-06,영업,제주특별자치도 서귀포시 강정동 165-6,"제주특별자치도 서귀포시 김정문화로27번길 9-6, 1,2층 (강정동)", 서귀포시 강정동 165-6, 서귀포시 김정문화로27번길 9-6,126.507325299,33.252946707,에이치푸드(H-FOOD)서귀포점  서귀포시 김정문화로27번길 9-6
14729,청기옥,한식,2021-09-01,영업,제주특별자치도 서귀포시 동홍동 422-1,제주특별자치도 서귀포시 동홍동로 15 (동홍동), 서귀포시 동홍동 422-1, 서귀포시 동홍동로 15 (동홍동),126.574710131,33.256374819,청기옥  서귀포시 동홍동로 15 (동홍동)
14730,강정노을,분식,2021-07-27,영업,제주특별자치도 서귀포시 강정동 4655,, 서귀포시 강정동 4655,,0.0,0.0,강정노을 None
14731,도리도리31(Doridori31),일식,2021-07-27,영업,제주특별자치도 서귀포시 대정읍 보성리 2476-13 103호,"제주특별자치도 서귀포시 대정읍 글로벌에듀로 382, 1층 103호", 서귀포시 대정읍 보성리 2476-13 103호, 서귀포시 대정읍 글로벌에듀로 382,126.276992002,33.280361188,도리도리31(Doridori31)  서귀포시 대정읍 글로벌에듀로 382
14732,소나무집,한식,2021-07-27,영업,제주특별자치도 서귀포시 동홍동 142-2,제주특별자치도 서귀포시 태평로 529-1 (동홍동), 서귀포시 동홍동 142-2, 서귀포시 태평로 529-1 (동홍동),126.573578811,33.251757396,소나무집  서귀포시 태평로 529-1 (동홍동)
14805,지코바치킨성산점,호프/통닭,2021-06-14,영업,제주특별자치도 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 55, 1층 81호 (제주 성산 리치유 클래시아)", 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아, 서귀포시 성산읍 성산등용로17번길 55,126.92948882,33.460265577,지코바치킨성산점  서귀포시 성산읍 성산등용로17번길 55
14806,용왕난드르음식점,한식,2021-05-06,영업,제주특별자치도 서귀포시 안덕면 창천리 876-11,제주특별자치도 서귀포시 안덕면 대평감산로 8, 서귀포시 안덕면 창천리 876-11, 서귀포시 안덕면 대평감산로 8,126.366946163,33.235450941,용왕난드르음식점  서귀포시 안덕면 대평감산로 8
14807,라우지(LOUSY),호프/통닭,2021-05-06,영업,제주특별자치도 서귀포시 대정읍 신평리 80-21,제주특별자치도 서귀포시 대정읍 중산간서로 2573-1, 서귀포시 대정읍 신평리 80-21, 서귀포시 대정읍 중산간서로 2573-1,126.26112366,33.267437552,라우지(LOUSY)  서귀포시 대정읍 중산간서로 2573-1
14808,무슈부부커피스탠드무릉(monsieurbubu coffeestand mureung),일식,2021-05-06,영업,제주특별자치도 서귀포시 대정읍 무릉리 2928-18,"제주특별자치도 서귀포시 대정읍 서삼중로 77, 1층", 서귀포시 대정읍 무릉리 2928-18, 서귀포시 대정읍 서삼중로 77,126.203347282,33.269814163,무슈부부커피스탠드무릉(monsieurbubu coffeestand mureung)  서귀포시 대정읍 서삼중로 77
14809,아레나홀덤펍,호프/통닭,2021-05-06,영업,제주특별자치도 서귀포시 서귀동 831-9,"제주특별자치도 서귀포시 태평로353번길 18, 3층 (서귀동)", 서귀포시 서귀동 831-9, 서귀포시 태평로353번길 18,126.56078528,33.247131035,아레나홀덤펍  서귀포시 태평로353번길 18
14810,미미회관,한식,2021-05-21,영업,제주특별자치도 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 55, 1층 49호 (제주 성산 리치유 클래시아)", 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아, 서귀포시 성산읍 성산등용로17번길 55,126.92948882,33.460265577,미미회관  서귀포시 성산읍 성산등용로17번길 55
14811,우리의세계,경양식,2021-05-21,영업,제주특별자치도 서귀포시 표선면 표선리 675,"제주특별자치도 서귀포시 표선면 표선관정로 97, 6층", 서귀포시 표선면 표선리 675, 서귀포시 표선면 표선관정로 97,126.830832527,33.324352451,우리의세계  서귀포시 표선면 표선관정로 97
14812,부우,한식,2021-04-28,영업,제주특별자치도 서귀포시 표선면 표선리 602-2 빵굽는집,"제주특별자치도 서귀포시 표선면 표선동서로 251, 2,3층", 서귀포시 표선면 표선리 602-2 빵굽는집, 서귀포시 표선면 표선동서로 251,126.83279298,33.326270845,부우  서귀포시 표선면 표선동서로 251
14813,서귀포시축산업협동조합축산물플라자1층별관,한식,2021-05-07,영업,제주특별자치도 서귀포시 성산읍 고성리 229,"제주특별자치도 서귀포시 성산읍 섭지코지로25번길 120, 1층", 서귀포시 성산읍 고성리 229, 서귀포시 성산읍 섭지코지로25번길 120,126.921057943,33.44904766,서귀포시축산업협동조합축산물플라자1층별관  서귀포시 성산읍 섭지코지로25번길 120
14814,포가츠,일식,2021-06-17,영업,제주특별자치도 서귀포시 서귀동 587-35,"제주특별자치도 서귀포시 태평로 392-2, 1층 (서귀동)", 서귀포시 서귀동 587-35, 서귀포시 태평로 392-2,126.56238502,33.244215529,포가츠  서귀포시 태평로 392-2
14815,미루네닭갈비(성산점),한식,2021-06-17,영업,제주특별자치도 서귀포시 성산읍 성산리 399-46,"제주특별자치도 서귀포시 성산읍 일출로 230, 1층", 서귀포시 성산읍 성산리 399-46, 서귀포시 성산읍 일출로 230,126.930718638,33.459935379,미루네닭갈비(성산점)  서귀포시 성산읍 일출로 230
