store_name,business_category,permission_date,situation,address,address_road,new_store_name
윤가우동서홍동점,한식,2021-07-30,영업,제주특별자치도 서귀포시 서홍동 377-12,"제주특별자치도 서귀포시 홍중로27번길 1, 1층 (서홍동)",윤가우동서홍동점  서귀포시 홍중로27번길 1
제주성산브런치난산리다,"외국음식전문점(인도,태국등)",2021-07-30,영업,제주특별자치도 서귀포시 성산읍 난산리 1173-1,제주특별자치도 서귀포시 성산읍 난산로41번길 39-2,제주성산브런치난산리다  서귀포시 성산읍 난산로41번길 39-2
쏭타이(ssongthai),"외국음식전문점(인도,태국등)",2021-07-30,영업,제주특별자치도 서귀포시 색달동 2822-2 신우성타운,"제주특별자치도 서귀포시 중문관광로72번길 29-9, 신우성타운 다동 2층 (색달동)",쏭타이(ssongthai)  서귀포시 중문관광로72번길 29-9
라이징앤레스토랑,뷔페식,2021-07-20,영업,제주특별자치도 서귀포시 강정동 162-1,"제주특별자치도 서귀포시 신중남로 17, B101호 (강정동)",라이징앤레스토랑  서귀포시 신중남로 17
엘파소(ELPASO),경양식,2021-07-20,영업,제주특별자치도 서귀포시 안덕면 화순리 2015-1,"제주특별자치도 서귀포시 안덕면 화순로 191-43, 지하1층 지상1층",엘파소(ELPASO)  서귀포시 안덕면 화순로 191-43
피자탑(표선점),"외국음식전문점(인도,태국등)",2021-07-28,영업,제주특별자치도 서귀포시 표선면 표선리 544-7,제주특별자치도 서귀포시 표선면 표선관정로 39-37,피자탑(표선점)  서귀포시 표선면 표선관정로 39-37
아지트홀덤펍,한식,2021-07-28,영업,제주특별자치도 서귀포시 중문동 2081-5 축협중문종합판매점,"제주특별자치도 서귀포시 천제연로185번길 3-1, 축협중문종합판매점 2층 (중문동)",아지트홀덤펍  서귀포시 천제연로185번길 3-1
가든이다,한식,2021-07-07,영업,제주특별자치도 서귀포시 중문동 1703-1,제주특별자치도 서귀포시 중문상로 86 (중문동),가든이다  서귀포시 중문상로 86 (중문동)
모꼬지,한식,2021-07-07,영업,제주특별자치도 서귀포시 남원읍 신흥리 산 30 해비치골프장,"제주특별자치도 서귀포시 남원읍 원님로399번길 319, 해비치골프장",모꼬지  서귀포시 남원읍 원님로399번길 319
분식집,분식,2021-07-28,영업,제주특별자치도 서귀포시 안덕면 화순리 1229-1,제주특별자치도 서귀포시 안덕면 화순서서로64번길 69,분식집  서귀포시 안덕면 화순서서로64번길 69
일공공편백샤브서귀포점,한식,2021-07-28,영업,제주특별자치도 서귀포시 동홍동 106-6,"제주특별자치도 서귀포시 동홍남로 55, 2층 (동홍동)",일공공편백샤브서귀포점  서귀포시 동홍남로 55
한끼두끼,한식,2021-08-04,영업,제주특별자치도 서귀포시 안덕면 서광리 1421-1,"제주특별자치도 서귀포시 안덕면 녹차분재로 47, 1호",한끼두끼  서귀포시 안덕면 녹차분재로 47
모슬포제빵소(멕시코요리),"외국음식전문점(인도,태국등)",2021-07-26,영업,제주특별자치도 서귀포시 대정읍 하모리 2138-2,제주특별자치도 서귀포시 대정읍 최남단해안로 33,모슬포제빵소(멕시코요리)  서귀포시 대정읍 최남단해안로 33
두리둠비,한식,2021-07-26,영업,제주특별자치도 서귀포시 색달동 2518-1 하얀풍경,"제주특별자치도 서귀포시 중문관광로 16, 하얀풍경 (색달동)",두리둠비  서귀포시 중문관광로 16
요기국수,한식,2021-07-26,영업,제주특별자치도 서귀포시 성산읍 고성리 1101-13,"제주특별자치도 서귀포시 성산읍 일출로 2, 1층",요기국수  서귀포시 성산읍 일출로 2
고등어회전문점우성이네,일식,2021-08-12,영업,제주특별자치도 서귀포시 강정동 172-10,"제주특별자치도 서귀포시 신서로32번길 6, 지1층 (강정동)",고등어회전문점우성이네  서귀포시 신서로32번길 6
건곤,중국식,2021-07-06,영업,제주특별자치도 서귀포시 대정읍 보성리 479 한돌 빌라,"제주특별자치도 서귀포시 대정읍 보성구억로 209, A동 102호 (한돌 빌라)",건곤  서귀포시 대정읍 보성구억로 209
카페갤러리돌그리안,한식,2021-08-02,영업,제주특별자치도 서귀포시 성산읍 신산리 52-6,제주특별자치도 서귀포시 성산읍 환해장성로 197,카페갤러리돌그리안  서귀포시 성산읍 환해장성로 197
성산연화,분식,2021-08-02,영업,제주특별자치도 서귀포시 성산읍 성산리 170-3,"제주특별자치도 서귀포시 성산읍 성산중앙로 22, 1층",성산연화  서귀포시 성산읍 성산중앙로 22
이디오젠,호프/통닭,2021-08-31,영업,제주특별자치도 서귀포시 남원읍 남원리 113-1,"제주특별자치도 서귀포시 남원읍 태위로 670, 1층",이디오젠  서귀포시 남원읍 태위로 670
제주신라어덜트풀,경양식,2021-09-07,영업,제주특별자치도 서귀포시 색달동 3039-3 신라호텔,"제주특별자치도 서귀포시 중문관광로72번길 75, 신라호텔 (색달동)",제주신라어덜트풀  서귀포시 중문관광로72번길 75
강정중국집,중국식,2021-09-07,영업,제주특별자치도 서귀포시 강정동 2881-19,제주특별자치도 서귀포시 이어도로 633 (강정동),강정중국집  서귀포시 이어도로 633 (강정동)
뮈르,"외국음식전문점(인도,태국등)",2021-09-10,영업,제주특별자치도 서귀포시 하예동 255,"제주특별자치도 서귀포시 하예로 28, 2층 (하예동)",뮈르  서귀포시 하예로 28
엉또돌다카페농원,한식,2021-09-10,영업,제주특별자치도 서귀포시 강정동 1889,"제주특별자치도 서귀포시 월산로 30, 1층 (강정동)",엉또돌다카페농원  서귀포시 월산로 30
사계223,호프/통닭,2021-09-10,영업,제주특별자치도 서귀포시 안덕면 사계리 2017-4,"제주특별자치도 서귀포시 안덕면 사계남로 223, 1층 102호",사계223  서귀포시 안덕면 사계남로 223
뷰 935(View 935),패밀리레스트랑,2021-09-27,영업,제주특별자치도 서귀포시 색달동 1622-2,"제주특별자치도 서귀포시 중산간서로 935, 1층 (색달동)",뷰 935(View 935)  서귀포시 중산간서로 935
난타5000표선점,분식,2021-08-26,영업,제주특별자치도 서귀포시 표선면 표선리 633-7,"제주특별자치도 서귀포시 표선면 표선동서로 230, 1층",난타5000표선점  서귀포시 표선면 표선동서로 230
요리하는팬더,중국식,2021-08-26,영업,제주특별자치도 서귀포시 서귀동 270-2,제주특별자치도 서귀포시 동문로 34 (서귀동),요리하는팬더  서귀포시 동문로 34 (서귀동)
셀라돈,호프/통닭,2021-08-26,영업,제주특별자치도 서귀포시 서귀동 609-4,제주특별자치도 서귀포시 솔동산로 13 (서귀동),셀라돈  서귀포시 솔동산로 13 (서귀동)
런(RuN)카페,"외국음식전문점(인도,태국등)",2021-08-26,영업,제주특별자치도 서귀포시 서귀동 209-15,제주특별자치도 서귀포시 명동로 53 (서귀동),런(RuN)카페  서귀포시 명동로 53 (서귀동)
폴개촌,한식,2021-09-24,영업,제주특별자치도 서귀포시 남원읍 태흥리 531-1,"제주특별자치도 서귀포시 남원읍 태위로 947, 1층",폴개촌  서귀포시 남원읍 태위로 947
낙원의밤,호프/통닭,2021-09-24,영업,제주특별자치도 서귀포시 안덕면 화순리 1066-3,"제주특별자치도 서귀포시 안덕면 화순로 119, 2층 201호",낙원의밤  서귀포시 안덕면 화순로 119
산방산초밥,일식,2021-09-24,영업,제주특별자치도 서귀포시 안덕면 화순리 1066-3,"제주특별자치도 서귀포시 안덕면 화순로 119, 2층 202호",산방산초밥  서귀포시 안덕면 화순로 119
하동까스,경양식,2021-09-08,영업,제주특별자치도 서귀포시 대정읍 하모리 634-6,"제주특별자치도 서귀포시 대정읍 최남단해안로127번길 13, 1층",하동까스  서귀포시 대정읍 최남단해안로127번길 13
샤브마니아신서귀포점,한식,2021-08-06,영업,제주특별자치도 서귀포시 법환동 735-4,"제주특별자치도 서귀포시 신서귀로 45, 1층 (법환동)",샤브마니아신서귀포점  서귀포시 신서귀로 45
시흥삼림,호프/통닭,2021-09-29,영업,제주특별자치도 서귀포시 성산읍 시흥리 797,"제주특별자치도 서귀포시 성산읍 시흥하동로57번길 35, 1층",시흥삼림  서귀포시 성산읍 시흥하동로57번길 35
챰이슬,정종/대포집/소주방,2021-09-17,영업,제주특별자치도 서귀포시 대정읍 하모리 930-5,"제주특별자치도 서귀포시 대정읍 하모상가로 31, 2층",챰이슬  서귀포시 대정읍 하모상가로 31
탄광맥주제주중문점,호프/통닭,2021-09-17,영업,제주특별자치도 서귀포시 중문동 2167-16,"제주특별자치도 서귀포시 천제연로 153, 1층 (중문동)",탄광맥주제주중문점  서귀포시 천제연로 153
1월구름,한식,2021-09-17,영업,제주특별자치도 서귀포시 안덕면 화순리 1056-10,"제주특별자치도 서귀포시 안덕면 화순로 139, 1층",1월구름  서귀포시 안덕면 화순로 139
남쪽,한식,2021-09-28,영업,제주특별자치도 서귀포시 서귀동 688-5,제주특별자치도 서귀포시 칠십리로91번길 25 (서귀동),남쪽  서귀포시 칠십리로91번길 25 (서귀동)
33떡볶이제주점,분식,2021-09-28,영업,제주특별자치도 서귀포시 대정읍 보성리 2377 에듀스타,"제주특별자치도 서귀포시 대정읍 에듀시티로50번길 6, 에듀스타 102호",33떡볶이제주점  서귀포시 대정읍 에듀시티로50번길 6
팔도강산,한식,2021-07-13,영업,제주특별자치도 서귀포시 성산읍 성산리 399-16,"제주특별자치도 서귀포시 성산읍 일출로 234, 2층",팔도강산  서귀포시 성산읍 일출로 234
다다익고정육식당신서귀포점,식육(숯불구이),2021-07-13,영업,제주특별자치도 서귀포시 강정동 154-3,"제주특별자치도 서귀포시 신중로 26-8, 1층 (강정동)",다다익고정육식당신서귀포점  서귀포시 신중로 26-8
소울라운지,호프/통닭,2021-07-21,영업,제주특별자치도 서귀포시 남원읍 태흥리 1789,"제주특별자치도 서귀포시 남원읍 남태해안로 259, 다동",소울라운지  서귀포시 남원읍 남태해안로 259
푸라닭제주영어교육도시점,호프/통닭,2021-07-21,영업,제주특별자치도 서귀포시 대정읍 보성리 2477 이노에듀파크,"제주특별자치도 서귀포시 대정읍 글로벌에듀로 370, 이노에듀파크 138호",푸라닭제주영어교육도시점  서귀포시 대정읍 글로벌에듀로 370
만선민물장어,식육(숯불구이),2021-08-13,영업,제주특별자치도 서귀포시 중문동 2079-3,"제주특별자치도 서귀포시 천제연로185번길 10, 1층 (중문동)",만선민물장어  서귀포시 천제연로185번길 10
친봉산장,경양식,2021-08-13,영업,제주특별자치도 서귀포시 상효동 1314-2,제주특별자치도 서귀포시 하신상로 417 (상효동),친봉산장  서귀포시 하신상로 417 (상효동)
돌담밥상,한식,2021-08-23,영업,제주특별자치도 서귀포시 표선면 성읍리 987-1,"제주특별자치도 서귀포시 표선면 성읍정의현로22번길 14-5, 16호",돌담밥상  서귀포시 표선면 성읍정의현로22번길 14-5
산토샤,한식,2021-08-23,영업,제주특별자치도 서귀포시 안덕면 사계리 2461-2,제주특별자치도 서귀포시 안덕면 산방로 415,산토샤  서귀포시 안덕면 산방로 415
동양식당(주),한식,2021-08-23,영업,제주특별자치도 서귀포시 강정동 3707-1,제주특별자치도 서귀포시 용흥로66번길 153 (강정동),동양식당(주)  서귀포시 용흥로66번길 153 (강정동)
제주연어로만제주점,일식,2021-08-23,영업,제주특별자치도 서귀포시 대정읍 안성리 1863-5,제주특별자치도 서귀포시 대정읍 추사로38번길 136,제주연어로만제주점  서귀포시 대정읍 추사로38번길 136
지코바치킨 신시가지점,호프/통닭,2021-07-05,영업,제주특별자치도 서귀포시 강정동 195,"제주특별자치도 서귀포시 대청로 12, 105호 (강정동, 서귀포시강정지구3블럭중흥에스-클래스)",지코바치킨 신시가지점  서귀포시 대청로 12
제주성산난산리식당,"외국음식전문점(인도,태국등)",2021-07-05,영업,제주특별자치도 서귀포시 성산읍 난산리 1054-1,제주특별자치도 서귀포시 성산읍 난산로41번길 38,제주성산난산리식당  서귀포시 성산읍 난산로41번길 38
오놀(onol),한식,2021-08-17,영업,제주특별자치도 서귀포시 대포동 2367-1,"제주특별자치도 서귀포시 대포로 174, 2층 (대포동)",오놀(onol)  서귀포시 대포로 174
메리밀(Merry Meal),한식,2021-07-09,영업,제주특별자치도 서귀포시 남원읍 남원리 128-9,제주특별자치도 서귀포시 남원읍 남태해안로 118,메리밀(Merry Meal)  서귀포시 남원읍 남태해안로 118
봄봄모슬포점,경양식,2021-07-09,영업,제주특별자치도 서귀포시 대정읍 하모리 848-14,"제주특별자치도 서귀포시 대정읍 신영로 103, 1층",봄봄모슬포점  서귀포시 대정읍 신영로 103
너야말로진정회,횟집,2021-07-09,영업,제주특별자치도 서귀포시 대포동 724-1,제주특별자치도 서귀포시 천제연로 295 (대포동),너야말로진정회  서귀포시 천제연로 295 (대포동)
에스바(S Bar),"외국음식전문점(인도,태국등)",2021-08-09,영업,제주특별자치도 서귀포시 안덕면 서광리 산 24,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",에스바(S Bar)  서귀포시 안덕면 신화역사로304번길 38
수줍은도시락,한식,2021-07-23,영업,제주특별자치도 서귀포시 성산읍 온평리 1120-3,제주특별자치도 서귀포시 성산읍 온평포구로62번길 36,수줍은도시락  서귀포시 성산읍 온평포구로62번길 36
소이나나(Soi Nana),"외국음식전문점(인도,태국등)",2021-07-23,영업,제주특별자치도 서귀포시 안덕면 사계리 226 몬트마레 109호,"제주특별자치도 서귀포시 안덕면 사계북로 192, 몬트마레 1층 109호",소이나나(Soi Nana)  서귀포시 안덕면 사계북로 192
미스터피자 서귀포중문점,경양식,2021-07-23,영업,제주특별자치도 서귀포시 중문동 1733-5,"제주특별자치도 서귀포시 중문상로82번길 16, 103호 (중문동)",미스터피자 서귀포중문점  서귀포시 중문상로82번길 16
대박조개구이,한식,2021-07-23,영업,제주특별자치도 서귀포시 성산읍 고성리 325-1,제주특별자치도 서귀포시 성산읍 일출로 23,대박조개구이  서귀포시 성산읍 일출로 23
블랙번,한식,2021-08-20,영업,제주특별자치도 서귀포시 동홍동 413-3,제주특별자치도 서귀포시 동홍남로 50 (동홍동),블랙번  서귀포시 동홍남로 50 (동홍동)
야시카페&바(CAFE&BAR),호프/통닭,2021-09-03,영업,제주특별자치도 서귀포시 대정읍 상모리 3854-8 2층 북측,"제주특별자치도 서귀포시 대정읍 상모대서로 25, 패밀리마트 2층",야시카페&바(CAFE&BAR)  서귀포시 대정읍 상모대서로 25
귀빈카페,한식,2021-09-03,영업,제주특별자치도 서귀포시 남원읍 남원리 100-1,"제주특별자치도 서귀포시 남원읍 태위로 689, 2층",귀빈카페  서귀포시 남원읍 태위로 689
프랭크버거제주중문점,분식,2021-09-03,영업,제주특별자치도 서귀포시 중문동 1973-1,"제주특별자치도 서귀포시 천제연로 221, 1층 (중문동)",프랭크버거제주중문점  서귀포시 천제연로 221
